loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,ra,dec,st_teff,st_mass,st_rad,pl_masse,pl_rade
307,HD 111591,Radial Velocity,1,1056.4,2.5,0.26,,192.572067,22.863407,4884,1.94,8.03,,
308,HD 111998,Radial Velocity,1,825.9,1.82,0.03,,193.296494,-3.553098,6557,1.18,1.45,,
309,HD 113337,Radial Velocity,1,324,0.92,0.46,,195.445526,63.610226,6576.6,1.4,1.5,,
310,HD 113538,Radial Velocity,2,663.2,1.24,0.14,,196.239487,-52.442924,4462,0.58,0.53,,
311,HD 113538,Radial Velocity,2,1818,2.44,0.2,,196.239487,-52.442924,4462,0.58,0.53,,
312,HD 113996,Radial Velocity,1,610.2,1.6,0.28,,196.794708,27.624741,4181,1.49,25.11,,
313,HD 114386,Radial Velocity,1,937.70001,1.73,0.23,,197.665924,-35.054783,4836,0.6,0.76,362.3262,
314,HD 114613,Radial Velocity,1,3827,5.16,0.25,,198.013275,-37.80302,5729,1.36,,,
315,HD 114729,Radial Velocity,1,1114,2.1,0.17,,198.184402,-31.873348,5835,1.24,1.55,346.4347,
316,HD 114762,Radial Velocity,1,83.9151,0.36,0.34,,198.08226,17.517122,5869,0.8,1.2,3397.6027,
317,HD 114783,Radial Velocity,1,493.7,1.16,0.144,,198.182434,-2.26504,5135,0.85,,,
318,HD 11506,Radial Velocity,2,1405,2.6,0.3,,28.210558,-19.506975,6183,1.51,1.24,1760.7782,
319,HD 11506,Radial Velocity,2,223.6,0.721,0.24,,28.210558,-19.506975,6183,1.51,1.24,,
320,HD 116029,Radial Velocity,1,670,1.65,0,,200.164764,24.648699,4819,0.83,4.89,444.962,
321,HD 117207,Radial Velocity,1,2597,3.74,0.14,,202.337967,-35.570995,5662,0.96,1.11,549.8459,
322,HD 11755,Radial Velocity,1,433.70001,1.09,0.19,,29.708696,73.152382,4312,0.72,20.58,1789.3829,
323,HD 117618,Radial Velocity,1,25.827,0.17,0.42,,203.106476,-47.271362,5977,1.17,1.2,60.3877,
324,HD 118203,Radial Velocity,1,6.1335,0.07,0.31,,203.510574,53.728531,5864,1.84,2.06,886.7457,
325,HD 11964,Radial Velocity,2,1945,3.16,0.041,,29.290026,-10.242428,5349,1.12,,,
326,HD 11964,Radial Velocity,2,37.91,0.229,0.3,,29.290026,-10.242428,5349,1.12,,,
327,HD 11977,Radial Velocity,1,711,1.93,0.4,,28.733881,-67.647301,4970,1.91,10.09,,
328,HD 120084,Radial Velocity,1,2082,4.3,0.66,,205.663345,78.064438,4892,2.39,9.12,,
329,HD 121504,Radial Velocity,1,63.33,0.33,0.03,,209.321823,-56.040043,6027,1.62,1.07,479.9233,
330,HD 12484,Radial Velocity,1,58.83,0.297,0.07,,30.611374,2.815859,5920,1.01,,,
331,HD 125595,Radial Velocity,1,9.6737,0.08,0,,215.346603,-40.393948,4691,0.29,0.74,6.3566,
332,HD 125612,Radial Velocity,3,559.40485,1.37,0.46,,215.222977,-17.481522,5931,1.19,1.07,1026.5909,
333,HD 125612,Radial Velocity,3,4.1547,0.05,0.27,,215.222977,-17.481522,5931,1.19,1.07,,
334,HD 125612,Radial Velocity,3,3008,4.2,0.28,,215.222977,-17.481522,5931,1.19,1.07,,
335,HD 12648,Radial Velocity,1,133.60001,0.54,0.04,,34.748653,85.736153,4835,0.67,11.02,622.9468,
336,HD 12661,Radial Velocity,2,262.70862,0.84,0.38,,31.142866,25.414305,5645,1.2,1.2,772.3269,
337,HD 12661,Radial Velocity,2,1708,2.8145,0.031,,31.142866,25.414305,5645,1.2,1.2,,
