loc_rowid,pl_hostname,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_dens,ra,dec,st_teff,st_mass,st_rad,pl_masse,pl_rade
2090,Kepler-209,Transit,2,16.087845,0.122,,,291.169537,42.640812,5513,,0.94,,2.26
2091,Kepler-209,Transit,2,41.749882,0.231,,,291.169537,42.640812,5513,,0.94,,3.1
2092,Kepler-21,Transit,1,2.78578,0.042717,0.02,6.4,287.361816,38.714016,6305,1.41,1.9,5.08,1.639
2093,Kepler-210,Transit,2,2.453234,0.032,,,292.503389,43.083149,4559,,0.65,,2.94
2094,Kepler-210,Transit,2,7.972513,0.07,,,292.503389,43.083149,4559,,0.65,,3.62
2095,Kepler-211,Transit,2,4.138575,0.048,,,285.439151,43.168484,5123,0.97,0.82,,1.26
2096,Kepler-211,Transit,2,6.04045,0.062,,,285.439151,43.168484,5123,0.97,0.82,,1.29
2097,Kepler-212,Transit,2,16.257582,0.133,,,287.620834,43.141678,5852,1.16,1.46,,1.09
2098,Kepler-212,Transit,2,31.805174,0.207,,,287.620834,43.141678,5852,1.16,1.46,,2.74
2099,Kepler-213,Transit,2,2.46236,0.036,,,290.824182,44.647186,5696,0.94,1.2,,1.62
2100,Kepler-213,Transit,2,4.822962,0.057,,,290.824182,44.647186,5696,0.94,1.2,,2.34
2101,Kepler-214,Transit,2,15.660544,0.13,,,284.754851,44.956032,6169,,1.35,,2.61
2102,Kepler-214,Transit,2,28.7798,0.194,,,284.754851,44.956032,6169,,1.35,,2.13
2103,Kepler-215,Transit,4,9.360672,0.084,,,294.973509,45.213688,5739,0.77,1.03,,1.62
2104,Kepler-215,Transit,4,14.667108,0.113,,,294.973509,45.213688,5739,0.77,1.03,,1.77
2105,Kepler-215,Transit,4,30.864423,0.185,,,294.973509,45.213688,5739,0.77,1.03,,2.39
2106,Kepler-215,Transit,4,68.16101,0.314,,,294.973509,45.213688,5739,0.77,1.03,,1.75
2107,Kepler-216,Transit,2,7.693641,0.079,,,293.728072,46.129154,6091,,1.26,,2.35
2108,Kepler-216,Transit,2,17.406669,0.136,,,293.728072,46.129154,6091,,1.26,,3.04
2109,Kepler-217,Transit,3,5.374943,0.065,,,293.037744,46.277508,6171,,1.8,,2.23
2110,Kepler-217,Transit,3,8.586004,0.089,,,293.037744,46.277508,6171,,1.8,,1.85
2111,Kepler-217,Transit,3,3.88689525,,,,293.037744,46.277508,6171,,1.8,,1.32
2112,Kepler-218,Transit,3,3.619337,0.046,,,295.412811,46.266472,5502,,1.06,,1.48
2113,Kepler-218,Transit,3,44.699576,0.248,,,295.412811,46.266472,5502,,1.06,,3.14
2114,Kepler-218,Transit,3,124.5244647,,,,295.412811,46.266472,5502,,1.06,,2.66
2115,Kepler-219,Transit,3,4.585512,0.057,,,288.73898,46.762558,5786,,1.49,,2.95
2116,Kepler-219,Transit,3,22.714613,0.165,,,288.73898,46.762558,5786,,1.49,,3.58
2117,Kepler-219,Transit,3,47.903645,0.272,,,288.73898,46.762558,5786,,1.49,,2.81
2118,Kepler-22,Transit,1,289.8623,0.849,0,14.7,289.217484,47.884464,5518,0.97,0.98,36,2.38
2119,Kepler-220,Transit,4,4.159807,0.046,,,291.506237,46.895779,4632,,0.67,,0.81
2120,Kepler-220,Transit,4,9.034199,0.076,,,291.506237,46.895779,4632,,0.67,,1.57
2121,Kepler-220,Transit,4,28.122397,0.163,,,291.506237,46.895779,4632,,0.67,,0.98
2122,Kepler-220,Transit,4,45.902733,0.226,,,291.506237,46.895779,4632,,0.67,,1.33
2123,Kepler-221,Transit,4,2.795906,0.037,,,296.654765,46.83527,5243,0.72,0.82,,1.71
2124,Kepler-221,Transit,4,5.690586,0.059,,,296.654765,46.83527,5243,0.72,0.82,,2.93
2125,Kepler-221,Transit,4,10.04156,0.087,,,296.654765,46.83527,5243,0.72,0.82,,2.73
2126,Kepler-221,Transit,4,18.369917,0.13,,,296.654765,46.83527,5243,0.72,0.82,,2.63
2127,Kepler-222,Transit,3,3.936981,0.048,,,287.9061,46.937767,5433,,0.87,,3.16
2128,Kepler-222,Transit,3,10.08881,0.091,,,287.9061,46.937767,5433,,0.87,,4.64
2129,Kepler-222,Transit,3,28.081912,0.18,,,287.9061,46.937767,5433,,0.87,,3.69
2130,Kepler-223,Transit,4,7.38449,,0.078,1.54,298.318356,47.279495,,1.12,1.72,7.4,2.99
2131,Kepler-223,Transit,4,9.84564,,0.15,0.71,298.318356,47.279495,,1.12,1.72,5.1,3.44
2132,Kepler-223,Transit,4,14.78869,,0.037,0.31,298.318356,47.279495,,1.12,1.72,8,5.24
2133,Kepler-223,Transit,4,19.72567,,0.051,0.28,298.318356,47.279495,,1.12,1.72,4.8,4.6
2134,Kepler-224,Transit,4,3.132924,0.038,,,290.934287,47.357601,5018,0.74,0.68,,1.39
2135,Kepler-224,Transit,4,5.925003,0.058,,,290.934287,47.357601,5018,0.74,0.68,,3.12
2136,Kepler-224,Transit,4,11.349393,0.089,,,290.934287,47.357601,5018,0.74,0.68,,2.3
2137,Kepler-224,Transit,4,18.643577,0.124,,,290.934287,47.357601,5018,0.74,0.68,,1.97
2138,Kepler-225,Transit,2,6.738975,0.056,,,292.193984,47.457096,3682,,0.48,,1.2
2139,Kepler-225,Transit,2,18.794234,0.111,,,292.193984,47.457096,3682,,0.48,,1.84
2140,Kepler-226,Transit,3,3.940997,0.047,,,292.376129,47.880989,5571,0.86,0.8,,1.55
2141,Kepler-226,Transit,3,5.349555,0.058,,,292.376129,47.880989,5571,0.86,0.8,,2.27
2142,Kepler-226,Transit,3,8.109044,0.076,,,292.376129,47.880989,5571,0.86,0.8,,1.22
2143,Kepler-227,Transit,2,9.488015,0.09,,,291.934236,48.141651,5854,,1.09,,3.11
2144,Kepler-227,Transit,2,54.418694,0.29,,,291.934236,48.141651,5854,,1.09,,3.04
2145,Kepler-228,Transit,3,2.566546,0.038,,,296.286142,48.224667,6043,,1.01,,1.53
2146,Kepler-228,Transit,3,4.134444,0.052,,,296.286142,48.224667,6043,,1.01,,2.7
2147,Kepler-228,Transit,3,11.094286,0.101,,,296.286142,48.224667,6043,,1.01,,4.04
2148,Kepler-229,Transit,3,6.252972,0.062,,,286.999471,48.375797,5120,,0.73,,2.2
2149,Kepler-229,Transit,3,16.068638,0.117,,,286.999471,48.375797,5120,,0.73,,4.92
2150,Kepler-229,Transit,3,41.194912,0.22,,,286.999471,48.375797,5120,,0.73,,3.85
2151,Kepler-23,Transit,3,7.1073,0.075,,,294.218924,49.479225,5828,1.11,1.55,254.3,1.9
2152,Kepler-23,Transit,3,10.7421,0.099,,,294.218924,49.479225,5828,1.11,1.55,858.1,3.2
2153,Kepler-23,Transit,3,15.274299,0.124,,,294.218924,49.479225,5828,1.11,1.55,,2.2
2154,Kepler-230,Transit,2,32.625555,0.191,,,285.718538,48.505859,5588,,0.82,,4.26
2155,Kepler-230,Transit,2,91.773242,0.38,,,285.718538,48.505859,5588,,0.82,,2.04
2156,Kepler-231,Transit,2,10.065275,0.074,,,293.973353,50.531914,3767,0.58,0.49,,1.73
2157,Kepler-231,Transit,2,19.271566,0.114,,,293.973353,50.531914,3767,0.58,0.49,,1.93
2158,Kepler-232,Transit,2,4.431222,0.054,,,295.816158,51.121742,5847,,0.97,,3.08
2159,Kepler-232,Transit,2,11.379349,0.101,,,295.816158,51.121742,5847,,0.97,,3.83
2160,Kepler-233,Transit,2,8.472382,0.077,,,296.366522,51.319523,5360,,0.76,,2.43
2161,Kepler-233,Transit,2,60.418955,0.287,,,296.366522,51.319523,5360,,0.76,,2.71
2162,Kepler-234,Transit,2,2.711506,0.04,,,291.653519,38.494659,6224,,1.11,,3.7
2163,Kepler-234,Transit,2,7.21205,0.077,,,291.653519,38.494659,6224,,1.11,,3.51
2164,Kepler-235,Transit,4,3.340222,0.037,,,286.079103,39.278313,4255,0.59,0.55,,2.23
2165,Kepler-235,Transit,4,7.824904,0.065,,,286.079103,39.278313,4255,0.59,0.55,,1.28
2166,Kepler-235,Transit,4,20.060548,0.122,,,286.079103,39.278313,4255,0.59,0.55,,2.05
2167,Kepler-235,Transit,4,46.183669,0.213,,,286.079103,39.278313,4255,0.59,0.55,,2.22
2168,Kepler-236,Transit,2,8.295611,0.065,,,283.866378,39.898092,3750,0.56,0.51,,1.57
2169,Kepler-236,Transit,2,23.968127,0.132,,,283.866378,39.898092,3750,0.56,0.51,,2
2170,Kepler-237,Transit,2,4.715106,0.05,,,283.221387,40.421834,4861,0.7,0.72,,1.41
2171,Kepler-237,Transit,2,8.103636,0.071,,,283.221387,40.421834,4861,0.7,0.72,,2.08
2172,Kepler-238,Transit,5,2.090876,0.034,,,287.897113,40.637815,5751,1.06,1.43,,1.73
2173,Kepler-238,Transit,5,6.155557,0.069,,,287.897113,40.637815,5751,1.06,1.43,,2.39
2174,Kepler-238,Transit,5,13.233549,0.115,,,287.897113,40.637815,5751,1.06,1.43,,3.07
2175,Kepler-238,Transit,5,23.654,,,,287.897113,40.637815,5751,1.06,1.43,169.7,5.6
2176,Kepler-238,Transit,5,50.447,,,,287.897113,40.637815,5751,1.06,1.43,13.5,2
2177,Kepler-239,Transit,2,11.763051,0.095,,,294.202137,40.663406,4914,0.74,0.76,,2.33
2178,Kepler-239,Transit,2,56.228098,0.268,,,294.202137,40.663406,4914,0.74,0.76,,2.51
2179,Kepler-24,Transit,4,8.1453,0.08,,,290.413267,38.343754,5897,1.03,1.29,508.5,2.4
2180,Kepler-24,Transit,4,12.3335,0.106,,,290.413267,38.343754,5897,1.03,1.29,508.5,2.8
2181,Kepler-24,Transit,4,4.244384,0.051,,,290.413267,38.343754,5897,1.03,1.29,,1.67
2182,Kepler-24,Transit,4,18.998355,0.138,,,290.413267,38.343754,5897,1.03,1.29,,2.78
2183,Kepler-240,Transit,2,4.144495,0.048,,,291.158774,40.750263,4985,,0.74,,1.37
2184,Kepler-240,Transit,2,7.953528,0.074,,,291.158774,40.750263,4985,,0.74,,2.2
2185,Kepler-241,Transit,2,12.718092,0.094,,,292.913118,41.060921,4699,,0.67,,2.33
2186,Kepler-241,Transit,2,36.065978,0.189,,,292.913118,41.060921,4699,,0.67,,2.57
2187,Kepler-242,Transit,2,8.20395,0.075,,,286.565695,41.808403,5020,,0.85,,2.61
2188,Kepler-242,Transit,2,14.496481,0.109,,,286.565695,41.808403,5020,,0.85,,2
2189,Kepler-243,Transit,2,5.715442,0.062,,,285.11047,42.033958,5228,0.89,0.84,,2.45
2190,Kepler-243,Transit,2,20.026218,0.142,,,285.11047,42.033958,5228,0.89,0.84,,1.99
2191,Kepler-244,Transit,3,4.311792,0.05,,,287.24268,42.301369,5554,,0.8,,2.76
2192,Kepler-244,Transit,3,9.767292,0.087,,,287.24268,42.301369,5554,,0.8,,2.05
2193,Kepler-244,Transit,3,20.050401,0.14,,,287.24268,42.301369,5554,,0.8,,2.31
2194,Kepler-245,Transit,4,7.49019,0.071,,,291.638965,42.436317,5100,0.8,0.8,,2.57
2195,Kepler-245,Transit,4,17.460812,0.124,,,291.638965,42.436317,5100,0.8,0.8,,2.18
2196,Kepler-245,Transit,4,36.277108,0.202,,,291.638965,42.436317,5100,0.8,0.8,,3.03
2197,Kepler-245,Transit,4,3.21982106,,,,291.638965,42.436317,5100,0.8,0.8,,1.75
2198,Kepler-246,Transit,2,4.60182,0.052,,,296.483427,42.663429,5206,0.86,0.83,,2.34
2199,Kepler-246,Transit,2,11.187161,0.095,,,296.483427,42.663429,5206,0.86,0.83,,1.5
2200,Kepler-247,Transit,3,3.33616,0.042,,,288.642531,43.039291,5100,,0.77,,1.64
2201,Kepler-247,Transit,3,9.439452,0.084,,,288.642531,43.039291,5100,,0.77,,4.09
2202,Kepler-247,Transit,3,20.477912,0.14,,,288.642531,43.039291,5100,,0.77,,3.94
2203,Kepler-248,Transit,2,6.308205,0.066,,,293.061384,43.581356,5190,,0.83,,3.02
2204,Kepler-248,Transit,2,16.239494,0.123,,,293.061384,43.581356,5190,,0.83,,4.07
2205,Kepler-249,Transit,3,3.306539,0.035,,,296.985068,43.658524,3568,,0.48,,1.09
2206,Kepler-249,Transit,3,7.113702,0.058,,,296.985068,43.658524,3568,,0.48,,1.51
2207,Kepler-249,Transit,3,15.368459,0.097,,,296.985068,43.658524,3568,,0.48,,1.57
2208,Kepler-25,Transit,3,6.2385,,,2.5,286.638393,39.487894,6270,1.19,1.31,9.6,2.71
2209,Kepler-25,Transit,3,12.7204,,,0.9,286.638393,39.487894,6270,1.19,1.31,24.6,5.2
2210,Kepler-25,Radial Velocity,3,123,,,,286.638393,39.487894,6270,1.19,1.31,89.9,
2211,Kepler-250,Transit,3,4.148141,0.048,,,289.594765,44.141953,5160,0.8,0.81,,1.13
2212,Kepler-250,Transit,3,7.156804,0.069,,,289.594765,44.141953,5160,0.8,0.81,,2.28
2213,Kepler-250,Transit,3,17.648312,0.127,,,289.594765,44.141953,5160,0.8,0.81,,2.18
2214,Kepler-251,Transit,4,4.790936,0.053,,,296.566237,44.105865,5526,0.91,0.89,,1.33
2215,Kepler-251,Transit,4,16.514043,0.122,,,296.566237,44.105865,5526,0.91,0.89,,2.77
2216,Kepler-251,Transit,4,30.133001,0.182,,,296.566237,44.105865,5526,0.91,0.89,,2.77
2217,Kepler-251,Transit,4,99.640161,0.404,,,296.566237,44.105865,5526,0.91,0.89,,2.77
2218,Kepler-252,Transit,2,6.668391,0.058,,,295.579345,44.545963,4208,0.52,0.55,,1.23
2219,Kepler-252,Transit,2,10.848463,0.08,,,295.579345,44.545963,4208,0.52,0.55,,2.15
2220,Kepler-253,Transit,3,3.783986,0.046,,,291.841992,44.858089,5208,,0.79,,1.63
2221,Kepler-253,Transit,3,10.281951,0.089,,,291.841992,44.858089,5208,,0.79,,2.65
2222,Kepler-253,Transit,3,18.119869,0.13,,,291.841992,44.858089,5208,,0.79,,3.17
2223,Kepler-254,Transit,3,5.826662,0.064,,,288.164701,45.816504,5957,,0.91,,3.87
2224,Kepler-254,Transit,3,12.412183,0.105,,,288.164701,45.816504,5957,,0.91,,2.15
2225,Kepler-254,Transit,3,18.746477,0.139,,,288.164701,45.816504,5957,,0.91,,2.5
2226,Kepler-255,Transit,3,5.714606,0.063,,,296.064233,45.976841,5573,0.97,0.93,,1.55
2227,Kepler-255,Transit,3,9.946047,0.092,,,296.064233,45.976841,5573,0.97,0.93,,2.99
2228,Kepler-255,Transit,3,1.04562266,,,,296.064233,45.976841,5573,0.97,0.93,,1.32
2229,Kepler-256,Transit,4,1.620493,0.027,,,292.580445,46.097389,5551,1.02,1.3,,1.59
2230,Kepler-256,Transit,4,3.38802,0.045,,,292.580445,46.097389,5551,1.02,1.3,,2.15
2231,Kepler-256,Transit,4,5.839172,0.064,,,292.580445,46.097389,5551,1.02,1.3,,2.48
2232,Kepler-256,Transit,4,10.681572,0.096,,,292.580445,46.097389,5551,1.02,1.3,,2.35
2233,Kepler-257,Transit,3,2.382667,0.034,,,297.315994,46.023269,5180,,1.04,,2.61
2234,Kepler-257,Transit,3,6.581484,0.066,,,297.315994,46.023269,5180,,1.04,,5.41
2235,Kepler-257,Transit,3,24.664551,0.16,,,297.315994,46.023269,5180,,1.04,,4.95
2236,Kepler-258,Transit,2,13.19722,0.103,,,294.06849,46.57933,4942,0.8,0.92,,4.06
2237,Kepler-258,Transit,2,33.653079,0.193,,,294.06849,46.57933,4942,0.8,0.92,,3.61
2238,Kepler-259,Transit,2,8.115317,0.079,,,288.211929,46.615005,5938,,0.9,,2.8
2239,Kepler-259,Transit,2,36.924931,0.217,,,288.211929,46.615005,5938,,0.9,,2.7
2240,Kepler-26,Transit,4,12.28,,,1.26,284.940997,46.56654,3914,0.54,0.51,5.12,2.78
2241,Kepler-26,Transit,4,17.2559,,,1.61,284.940997,46.56654,3914,0.54,0.51,6.2,2.72
2242,Kepler-26,Transit,4,3.543919,0.039,,,284.940997,46.56654,3914,0.54,0.51,,1.07
2243,Kepler-26,Transit,4,46.827915,0.22,,,284.940997,46.56654,3914,0.54,0.51,,2.41
2244,Kepler-260,Transit,2,8.187399,0.075,,,291.925972,38.014122,5250,0.88,0.86,,2.01
2245,Kepler-260,Transit,2,76.050178,0.332,,,291.925972,38.014122,5250,0.88,0.86,,1.74
2246,Kepler-261,Transit,2,10.381227,0.088,,,291.364773,37.609184,5098,0.87,0.79,,2.18
2247,Kepler-261,Transit,2,24.570858,0.156,,,291.364773,37.609184,5098,0.87,0.79,,2
2248,Kepler-262,Transit,2,13.060855,0.108,,,290.728675,37.252649,5841,,0.88,,1.36
2249,Kepler-262,Transit,2,21.853722,0.152,,,290.728675,37.252649,5841,,0.88,,1.64
2250,Kepler-263,Transit,2,16.568087,0.12,,,292.469762,37.567794,5265,,0.79,,2.67
2251,Kepler-263,Transit,2,47.332773,0.242,,,292.469762,37.567794,5265,,0.79,,2.47
2252,Kepler-264,Transit,2,40.806231,0.249,,,292.044615,37.376246,6158,1.32,1.55,,3.33
2253,Kepler-264,Transit,2,140.101261,0.566,,,292.044615,37.376246,6158,1.32,1.55,,2.83
2254,Kepler-265,Transit,4,6.846262,0.069,,,290.510478,41.24482,5835,1.03,1.1,,1.86
2255,Kepler-265,Transit,4,17.028937,0.127,,,290.510478,41.24482,5835,1.03,1.1,,2.63
2256,Kepler-265,Transit,4,43.130617,0.236,,,290.510478,41.24482,5835,1.03,1.1,,2.49
2257,Kepler-265,Transit,4,67.831024,0.319,,,290.510478,41.24482,5835,1.03,1.1,,2.59
2258,Kepler-266,Transit,2,6.61833,0.071,,,294.484378,44.166916,5885,0.99,1.03,,2.48
2259,Kepler-266,Transit,2,107.723601,0.457,,,294.484378,44.166916,5885,0.99,1.03,,3.89
2260,Kepler-267,Transit,3,3.353728,0.037,,,299.830387,47.157461,4258,0.56,0.56,,1.98
2261,Kepler-267,Transit,3,6.87745,0.06,,,299.830387,47.157461,4258,0.56,0.56,,2.13
2262,Kepler-267,Transit,3,28.464515,0.154,,,299.830387,47.157461,4258,0.56,0.56,,2.27
2263,Kepler-268,Transit,2,25.934138,0.18,,,291.976175,38.055075,6081,,1.27,,2.55
2264,Kepler-268,Transit,2,83.446393,0.391,,,291.976175,38.055075,6081,,1.27,,3.38
2265,Kepler-269,Transit,2,5.326718,0.061,,,290.215171,41.775967,5847,0.98,0.96,,2.47
2266,Kepler-269,Transit,2,8.127899,0.081,,,290.215171,41.775967,5847,0.98,0.96,,1.69
2267,Kepler-27,Transit,2,15.3348,0.118,,,292.236769,41.085876,5400,0.65,0.59,2895.31,4
2268,Kepler-27,Transit,2,31.3309,0.191,,,292.236769,41.085876,5400,0.65,0.59,4385.87,4.9
2269,Kepler-270,Transit,2,11.476094,0.107,,,282.2001,44.422302,6067,,1.46,,2.01
2270,Kepler-270,Transit,2,25.262887,0.18,,,282.2001,44.422302,6067,,1.46,,1.77
2271,Kepler-271,Transit,3,5.217738,0.056,,,283.00298,44.284233,5524,,0.88,,0.89
2272,Kepler-271,Transit,3,7.410935,0.071,,,283.00298,44.284233,5524,,0.88,,1
2273,Kepler-271,Transit,3,5.24972541,,,,283.00298,44.284233,5524,,0.88,,0.66
2274,Kepler-272,Transit,3,2.971353,0.038,,,299.127524,47.59383,5297,0.79,0.93,,1.43
2275,Kepler-272,Transit,3,6.057342,0.061,,,299.127524,47.59383,5297,0.79,0.93,,1.79
2276,Kepler-272,Transit,3,10.937304,0.091,,,299.127524,47.59383,5297,0.79,0.93,,2.25
2277,Kepler-273,Transit,2,2.936532,0.037,,,291.302209,47.697758,5626,,0.81,,1.5
2278,Kepler-273,Transit,2,8.014927,0.073,,,291.302209,47.697758,5626,,0.81,,1.98
2279,Kepler-274,Transit,2,11.634788,0.101,,,292.922774,38.477274,6023,,1.01,,1.54
2280,Kepler-274,Transit,2,33.197861,0.204,,,292.922774,38.477274,6023,,1.01,,1.84
2281,Kepler-275,Transit,3,10.300682,0.098,,,292.479713,38.514927,6165,1.24,1.38,,2.34
2282,Kepler-275,Transit,3,16.088134,0.132,,,292.479713,38.514927,6165,1.24,1.38,,3.38
2283,Kepler-275,Transit,3,35.676062,0.224,,,292.479713,38.514927,6165,1.24,1.38,,3.33
2284,Kepler-276,Transit,3,14.12841,0.119,,,293.56815,39.036326,6105,1.1,1.05,,2.87
2285,Kepler-276,Transit,3,31.884,,,,293.56815,39.036326,6105,1.1,1.05,16.6,2.9
2286,Kepler-276,Transit,3,48.648,,,,293.56815,39.036326,6105,1.1,1.05,16.3,2.8
2287,Kepler-277,Transit,2,17.324,,,,286.583175,39.077209,5946,1.12,1.69,87.3,2.92
2288,Kepler-277,Transit,2,33.006,,,,286.583175,39.077209,5946,1.12,1.69,64.2,3.36
2289,Kepler-278,Transit,2,30.160546,0.207,,,290.107193,38.702235,4991,,2.94,,4.07
2290,Kepler-278,Transit,2,51.078775,0.294,,,290.107193,38.702235,4991,,2.94,,3.59
2291,Kepler-279,Transit,3,12.309681,0.112,,,287.391224,42.194836,6363,1.1,1.75,,3.62
2292,Kepler-279,Transit,3,35.736,,,,287.391224,42.194836,6363,1.1,1.75,49.4,4.3
2293,Kepler-279,Transit,3,54.414,,,,287.391224,42.194836,6363,1.1,1.75,37.5,3.1
2294,Kepler-28,Transit,2,5.9123,0.062,,,292.137029,42.42942,4590,0.75,0.7,479.9,3.6
2295,Kepler-28,Transit,2,8.9858,0.081,,,292.137029,42.42942,4590,0.75,0.7,432.23,3.4
2296,Kepler-280,Transit,2,2.139542,0.032,,,291.39051,42.180588,5744,0.91,0.89,,1.45
2297,Kepler-280,Transit,2,4.807091,0.056,,,291.39051,42.180588,5744,0.91,0.89,,2.01
2298,Kepler-281,Transit,2,14.646008,0.117,,,294.108191,44.770699,5723,0.98,0.9,,2.82
2299,Kepler-281,Transit,2,36.337373,0.215,,,294.108191,44.770699,5723,0.98,0.9,,5.31
2300,Kepler-282,Transit,4,9.220524,0.082,,,284.677277,44.797684,5602,0.97,0.9,,1.01
2301,Kepler-282,Transit,4,13.638723,0.106,,,284.677277,44.797684,5602,0.97,0.9,,1.2
2302,Kepler-282,Transit,4,24.806,,,,284.677277,44.797684,5602,0.97,0.9,61,2.46
2303,Kepler-282,Transit,4,44.347,,,,284.677277,44.797684,5602,0.97,0.9,56.2,3.1
2304,Kepler-283,Transit,2,11.008151,0.082,,,293.613726,47.838998,4351,,0.57,,2.13
2305,Kepler-283,Transit,2,92.743711,0.341,,,293.613726,47.838998,4351,,0.57,,1.82
2306,Kepler-284,Transit,2,12.699149,0.104,,,293.146491,47.729649,5615,,0.81,,2.24
2307,Kepler-284,Transit,2,37.514456,0.213,,,293.146491,47.729649,5615,,0.81,,2.61
2308,Kepler-285,Transit,2,2.633867,0.036,,,291.390905,48.065609,5411,0.85,0.81,,1.34
2309,Kepler-285,Transit,2,6.186676,0.064,,,291.390905,48.065609,5411,0.85,0.81,,1.12
2310,Kepler-286,Transit,4,1.796302,0.027,,,290.676145,48.294289,5580,,0.86,,1.24
2311,Kepler-286,Transit,4,3.468095,0.042,,,290.676145,48.294289,5580,,0.86,,1.37
2312,Kepler-286,Transit,4,5.914323,0.061,,,290.676145,48.294289,5580,,0.86,,1.33
2313,Kepler-286,Transit,4,29.221289,0.176,,,290.676145,48.294289,5580,,0.86,,1.77
2314,Kepler-287,Transit,2,20.342199,0.145,,,290.927458,48.44355,5806,,1.03,,2.33
2315,Kepler-287,Transit,2,44.851896,0.246,,,290.927458,48.44355,5806,,1.03,,3.26
2316,Kepler-288,Transit,3,6.097326,0.065,,,288.916426,39.594717,5918,0.89,1.09,,1.67
2317,Kepler-288,Transit,3,19.305772,0.14,,,288.916426,39.594717,5918,0.89,1.09,,2.85
2318,Kepler-288,Transit,3,56.633742,0.287,,,288.916426,39.594717,5918,0.89,1.09,,2.67
2319,Kepler-289,Transit,3,34.545,0.21,,4.1,297.465344,42.88285,5990,1.08,1,7.3,2.15
2320,Kepler-289,Transit,3,125.8518,0.51,,0.47,297.465344,42.88285,5990,1.08,1,132,11.59
2321,Kepler-289,Transit,3,66.0634,0.33,,1.2,297.465344,42.88285,5990,1.08,1,4,2.68
2322,Kepler-29,Transit,2,10.3384,,,0.65,298.348324,47.491226,5701,0.98,0.93,4.51,3.35
2323,Kepler-29,Transit,2,13.2884,,,0.7,298.348324,47.491226,5701,0.98,0.93,4,3.14
2324,Kepler-290,Transit,2,14.589347,0.11,,,286.409984,42.681553,5147,,0.74,,2.25
2325,Kepler-290,Transit,2,36.77031,0.205,,,286.409984,42.681553,5147,,0.74,,2.7
2326,Kepler-291,Transit,2,3.546511,0.047,,,287.916357,42.437302,6002,1.03,1.02,,2.16
2327,Kepler-291,Transit,2,5.700786,0.065,,,287.916357,42.437302,6002,1.03,1.02,,1.88
2328,Kepler-292,Transit,5,2.580827,0.035,,,295.766145,42.424288,5299,0.88,0.83,,1.32
2329,Kepler-292,Transit,5,3.715335,0.045,,,295.766145,42.424288,5299,0.88,0.83,,1.47
2330,Kepler-292,Transit,5,7.055679,0.068,,,295.766145,42.424288,5299,0.88,0.83,,2.23
2331,Kepler-292,Transit,5,11.97901,0.097,,,295.766145,42.424288,5299,0.88,0.83,,2.67
2332,Kepler-292,Transit,5,20.834237,0.141,,,295.766145,42.424288,5299,0.88,0.83,,2.35
2333,Kepler-293,Transit,2,19.254196,0.144,,,286.358057,42.406509,5804,1.01,0.96,,3.07
2334,Kepler-293,Transit,2,54.155743,0.286,,,286.358057,42.406509,5804,1.01,0.96,,3.83
2335,Kepler-294,Transit,2,3.701212,0.048,,,287.392009,46.059312,5913,,0.98,,1.77
2336,Kepler-294,Transit,2,6.6264,0.071,,,287.392009,46.059312,5913,,0.98,,2.71
2337,Kepler-295,Transit,3,12.645164,0.099,,,285.345843,45.367786,5603,,0.9,,1.22
2338,Kepler-295,Transit,3,21.526258,0.142,,,285.345843,45.367786,5603,,0.9,,1.17
2339,Kepler-295,Transit,3,33.884054,0.192,,,285.345843,45.367786,5603,,0.9,,1.36
2340,Kepler-296,Transit,5,10.864384,0.079,0.33,,286.540008,49.437326,3740,0.5,0.48,,1.61
2341,Kepler-296,Transit,5,5.8416366,0.0521,0.33,,286.540008,49.437326,3740,0.5,0.48,,2
2342,Kepler-296,Transit,5,19.850291,0.118,0.33,,286.540008,49.437326,3740,0.5,0.48,,2.09
2343,Kepler-296,Transit,5,34.14211,0.169,0.33,,286.540008,49.437326,3740,0.5,0.48,,1.53
2344,Kepler-296,Transit,5,63.33627,0.255,0.33,,286.540008,49.437326,3740,0.5,0.48,,1.8
2345,Kepler-297,Transit,2,38.871826,0.217,,,283.209159,48.777645,5619,,0.92,,2.87
2346,Kepler-297,Transit,2,74.920137,0.336,,,283.209159,48.777645,5619,,0.92,,6.54
2347,Kepler-298,Transit,3,10.475464,0.08,,,283.039792,48.825359,4465,0.65,0.58,,1.96
2348,Kepler-298,Transit,3,22.92881,0.136,,,283.039792,48.825359,4465,0.65,0.58,,1.93
2349,Kepler-298,Transit,3,77.473633,0.305,,,283.039792,48.825359,4465,0.65,0.58,,2.5
2350,Kepler-299,Transit,4,2.927128,0.04,,,283.206964,48.580502,5617,0.97,1.03,,1.32
2351,Kepler-299,Transit,4,6.885875,0.07,,,283.206964,48.580502,5617,0.97,1.03,,2.65
2352,Kepler-299,Transit,4,15.054786,0.118,,,283.206964,48.580502,5617,0.97,1.03,,1.86
2353,Kepler-299,Transit,4,38.285489,0.22,,,283.206964,48.580502,5617,0.97,1.03,,1.87
2354,Kepler-30,Transit,3,29.33434,0.18,0.042,1.02,285.283636,38.947281,5498,0.99,0.95,11.3,3.9
2355,Kepler-30,Transit,3,60.323105,0.3,0.0111,1.88,285.283636,38.947281,5498,0.99,0.95,640,12.3
